slug,name,status,platform,price_label,price,price_note,cta_text,stripe_price_id,success_url,cancel_url,store_serp_co_product_page_url,apps_serp_co_product_page_url,serply_link,categories,keywords
123movies-downloader,123movies Downloader,draft,123movies,One-time payment,$17.00,,Get it Now,price_1S99wh06JrOmKRCmkF8J8XUh,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=123movies-downloader,https://store.serp.co/product-details/product/123movies-downloader,https://apps.serp.co/123movies-downloader,https://serp.ly/123movies-downloader,Downloader;Movies & TV,123movies downloader
123rf-downloader,123rf Downloader,draft,123rf,One-time payment,$17.00,,Get it Now,price_1S99wh06JrOmKRCmViWhNpBg,https://store.serp.co/product-details/product/123rf-downloader?checkout=success,https://store.serp.co/product-details/product/123rf-downloader,https://store.serp.co/product-details/product/123rf-downloader,https://apps.serp.co/123rf-downloader,https://serp.ly/123rf-downloader,Downloader;Creative Assets;Image Hosting,123rf downloader
adobe-stock-downloader,Adobe Stock Downloader,draft,Adobe,One-time payment,$17.00,,Get it Now,price_1S99wh06JrOmKRCm9efFxcwZ,https://store.serp.co/product-details/product/adobe-stock-downloader?checkout=success,https://store.serp.co/product-details/product/adobe-stock-downloader,https://store.serp.co/product-details/product/adobe-stock-downloader,https://apps.serp.co/adobe-stock-downloader,https://serp.ly/adobe-stock-downloader,Downloader;Creative Assets,adobe stock downloader
ai-voice-cloner-app,AI Voice Cloner App,draft,AI,One-time payment,$17.00,,Get it Now,price_1S99fd06JrOmKRCmxtuDhI3T,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=ai-voice-cloner-app,https://store.serp.co/product-details/product/ai-voice-cloner-app,https://apps.serp.co/ai-voice-cloner-app,https://serp.ly/ai-voice-cloner-app,Artificial Intelligence,ai voice cloner app
alamy-downloader,Alamy Downloader,draft,Alamy,One-time payment,$17.00,,Get it Now,price_1S99wi06JrOmKRCmJJfdiHTB,https://store.serp.co/product-details/product/alamy-downloader?checkout=success,https://store.serp.co/product-details/product/alamy-downloader,https://store.serp.co/product-details/product/alamy-downloader,https://apps.serp.co/alamy-downloader,https://serp.ly/alamy-downloader,Downloader;Creative Assets,alamy downloader
alpha-porno-video-downloader,Alpha Porno Video Downloader,draft,Alpha Porno,One-time payment,$17.00,,Get it Now,price_1SELi806JrOmKRCmYjc9McRN,https://store.serp.co/product-details/product/alpha-porno-downloader?checkout=success,https://store.serp.co/product-details/product/alpha-porno-downloader,https://store.serp.co/product-details/product/alpha-porno-video-downloader,https://apps.serp.co/alpha-porno-video-downloader,https://serp.ly/alpha-porno-downloader,Downloader;Adult,alpha porno video downloader
amazon-video-downloader,Amazon Video Downloader,draft,Amazon,One-time payment,$1.00,,Get it Now,price_1S99wi06JrOmKRCmRppaSLjK,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=amazon-video-downloader,https://store.serp.co/product-details/product/amazon-video-downloader,https://apps.serp.co/amazon-video-downloader,https://serp.ly/amazon-video-downloader,Downloader;Movies & TV,amazon video downloader
beeg-video-downloader,Beeg Video Downloader,draft,Beeg,One-time payment,$17.00,,Get it Now,price_1RvXEr06JrOmKRCmJZDJjALY,https://store.serp.co/product-details/product/beeg-video-downloader?checkout=success,https://store.serp.co/product-details/product/beeg-video-downloader,https://store.serp.co/product-details/product/beeg-video-downloader,https://apps.serp.co/beeg-video-downloader,https://serp.ly/beeg-video-downloader,Downloader;Adult,beeg video downloader
bilibili-downloader,Bilibili Downloader,draft,Bilibili,One-time payment,$17.00,,Get it Now,price_1S99wj06JrOmKRCmXQNer2ho,https://store.serp.co/product-details/product/bilibili-downloader?checkout=success,https://store.serp.co/product-details/product/bilibili-downloader,https://store.serp.co/product-details/product/bilibili-downloader,https://apps.serp.co/bilibili-downloader,https://serp.ly/bilibili-downloader,Downloader;Social Media,bilibili downloader
bongacams-downloader,Bongacams Downloader,draft,Bongacams,One-time payment,$17.00,,Get it Now,price_1S99wj06JrOmKRCmIzTdkBGx,https://store.serp.co/product-details/product/bongacams-downloader?checkout=success,https://store.serp.co/product-details/product/bongacams-downloader,https://store.serp.co/product-details/product/bongacams-downloader,https://apps.serp.co/bongacams-downloader,https://serp.ly/bongacams-downloader,Downloader;Adult;Livestream,bongacams downloader
