Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,created_by (metadata),internal_id (metadata),location_id (metadata)
price_1S9CHy06JrOmKRCmsYSUxnVh,prod_T5N2AYLTR6RVZX,myproduct,,,,2025-09-19 21:56,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S9CDe06JrOmKRCmXOixpkPg,prod_T5MxKzEajlEOrn,myproduct,,,,2025-09-19 21:51,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S9CDN06JrOmKRCmuBlfus2M,prod_T5MxaigwvpwXrz,myproduct,,,,2025-09-19 21:51,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S9CD706JrOmKRCm3VQA0kIE,prod_T5Mx4ch2FdRMLO,myproduct,,,,2025-09-19 21:51,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S9CCV06JrOmKRCmvsDbYS3B,prod_T5MwohodMGgZSJ,myproduct,,,,2025-09-19 21:50,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S9CAr06JrOmKRCmyD8OQPXw,prod_T5MuLgpO6qCfUC,myproduct,,,,2025-09-19 21:49,15.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SX06JrOmKRCmoEj9f3qM,prod_Sv6IfWfbc5Ll3B,Youtube Downloader,,,youtube-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SX06JrOmKRCm6mwsFtlk,prod_SrFXfMjuAJPrN3,Youporn Video Downloader,Extension license key,,youporn-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SW06JrOmKRCmCpnFkKFI,prod_SrGWpcGJd9Ks6L,XVideos Downloader,Extension license key,,xvideos-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SW06JrOmKRCmppw3NRGi,prod_SrGWgskU7MuY7W,XV DL KEY,Extension license key,,xv-dl-key,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SW06JrOmKRCmE41iwxJV,prod_SrGYy9G4PpSOXb,XNXX Video Downloader,Extension license key,,xnxx-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SV06JrOmKRCm1IBItXzb,prod_SrFX2smztczwaP,Xhamster Video Downloader,Extension license key,,xhamster-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SV06JrOmKRCmZWdnfGIT,prod_SqneVRMZTs4wZL,Wistia Video Downloader,,,wistia-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SU06JrOmKRCmGNIw8jXn,prod_Sv6I6RRDKLWYuI,Whop Video Downloader,,,whop-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SU06JrOmKRCmT8smQGjt,prod_Sv6I16rohDB7jC,Vk Video Downloader,,,vk-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SU06JrOmKRCmnBqqpVHl,prod_Sv6IHhnlGYyxHA,Vectorstock Downloader,,,vectorstock-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99ST06JrOmKRCmSsDjlJ4k,prod_Sv6IV2QQpfCzgq,Unsplash Downloader,,,unsplash-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99ST06JrOmKRCmwyzHa261,prod_Sv6pmQEyl8WllC,Udemy Video Downloader,,,udemy-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SS06JrOmKRCmGveoOGaD,prod_Sv6IJ4J3OSX0H5,Twitter Video Downloader,,,twitter-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SS06JrOmKRCmEJr2M9sQ,prod_Sv6ImoTQs57mwW,Twitch Video Downloader,,,twitch-video-downloader,2025-09-19 18:55,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SR06JrOmKRCmx31JBeSl,prod_Sv6I5x44SVXBP5,Tumblr Video Downloader,,,tumblr-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SR06JrOmKRCmlzjfG7Xd,prod_Sv6ItsBpJpzvVw,Tubi Downloader,,,tubi-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SR06JrOmKRCmFntpBWsU,prod_SrGZeBZfzfXWxk,TNAFlix Video Downloader,Extension license key,,tnaflix-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SQ06JrOmKRCmV2nAyyMc,prod_SqnaOf7WhzR5eT,Tiktok Downloader,,,tiktok-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SQ06JrOmKRCmQbaiv16c,prod_Sv6HVfDmwn88re,Thumbnail Downloader,,,thumbnail-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SP06JrOmKRCmha01JJev,prod_Sv6IWl95vaLpNF,Thinkific Downloader,,,thinkific-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SP06JrOmKRCmLHrwTMaS,prod_SrGZvtVfgY20mV,TFLIX DL KEY,Extension license key,,tflix-dl-key,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SP06JrOmKRCm5WfziUGn,prod_Sv67k3xWm3pK2d,Test Product,,,test-product,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SO06JrOmKRCmPYz96B4S,prod_Sv5wDU6N9SEzkh,test 1,,,test-1,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SO06JrOmKRCmqrgNRdWg,prod_SezsvOxKzWYsCi,test,SERP DESCRIPTOR,,test,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SO06JrOmKRCmg9vfvSod,prod_Sv6HkQ1wvdUPoX,Terabox Downloader,,,terabox-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SN06JrOmKRCmxlX0pr32,prod_SfvWJaWArTvdxw,Template Product PDF 1,,,template-product-pdf-1,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SN06JrOmKRCmMYhlpaSE,prod_Sv6Hjz6BIuY5bF,Telegram Video Downloader,,,telegram-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SM06JrOmKRCmcMQnt6f7,prod_Sv6HVIOhY6C4og,Teachable Video Downloader,,,teachable-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SM06JrOmKRCmAcveQkql,prod_Sv6HVW9gQKtYn5,Stripchat Video Downloader,,,stripchat-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SM06JrOmKRCmpsWB7MlW,prod_Sv6HZzfIxq1u8n,Stream Downloader,,,stream-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SL06JrOmKRCme837PkGP,prod_Sv6Hu6CMpxmVAP,Storyblocks Downloader,,,storyblocks-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SL06JrOmKRCm4veYsbIN,prod_Sv6H2ZRo1ymBsm,Stockvault Downloader,,,stockvault-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SK06JrOmKRCmaMgoSRnk,prod_Sv6HuEMtBUlQkv,Stocksy Downloader,,,stocksy-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SK06JrOmKRCmBNooistw,prod_Sqnf8wu4C2srpT,Sprout Video Downloader,,,sprout-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SK06JrOmKRCmfRgQwx8z,prod_SrFXmdio8KIq10,SpankBang Video Downloader,Extension license key,,spankbang-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SJ06JrOmKRCmaIudUSDK,prod_Sv6HaR2vf225Ug,Soundgasm Downloader,,,soundgasm-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SJ06JrOmKRCm7pghFFNc,prod_Sv6HRTnu3bRsBv,Soundcloud Downloader,,,soundcloud-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SI06JrOmKRCmQJNaV7Wu,prod_Sv6HKIGikFw3ge,Snapchat Video Downloader,,,snapchat-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SI06JrOmKRCmwXlbYPBq,prod_Sv6H1kSbumNJv2,Skillshare Downloader,,,skillshare-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SI06JrOmKRCm2YIArGpz,prod_Sv6HkPBBGPsM83,Shutterstock Downloader,,,shutterstock-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SH06JrOmKRCmsagl09TC,prod_Sj3TMQS3RFnHcv,SERP University Pro,,,serp-university-pro,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SH06JrOmKRCmtYCtbK5L,prod_SncafRf7VoOGdS,SERP Affiliates,,,serp-affiliates,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SG06JrOmKRCm6RZir8yu,prod_SjP90Q93ogOkqx,SEO ROI Calculator,,,seo-roi-calculator,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SG06JrOmKRCmqzzdOy1R,prod_Sj0wcA7vidK1Gk,SEO Content Writing Mastery Course,,,seo-content-writing-mastery-course,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SG06JrOmKRCmUW3O85Xp,prod_Sv6HyesKF0djrE,Scribd Downloader,,,scribd-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SF06JrOmKRCm4mVQ477g,prod_SrGT67Jdllyx4Z,Redtube Video Downloader,Extension license key,,redtube-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SF06JrOmKRCm5bA8Ibbk,prod_SrGTn9wlYVmBej,REDT DL KEY,Extension license key,,redt-dl-key,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SE06JrOmKRCmfyMlVdkc,prod_Sv6HsEBkJ9Egha,Redgifs Downloader,,,redgifs-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SE06JrOmKRCm343Nvh06,prod_Sv6HzZkK1UNQzW,Redgif Downloader,,,redgif-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SE06JrOmKRCmPE1cGA7N,prod_Sv6H8RsVsGIHxZ,Rawpixel Downloader,,,rawpixel-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SD06JrOmKRCmVqfF5kus,prod_SqsjzKfZ2BCFg8,Pornhub Video Downloader,Extension license key,,pornhub-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SD06JrOmKRCmk252RNFe,prod_Sv6Hg4K1ejzmQn,Podia Downloader,,,podia-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SC06JrOmKRCmuwVIkkCh,prod_Sv6Hwk851lIj8h,Pixabay Downloader,,,pixabay-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SC06JrOmKRCmQOnJevLS,prod_Sv6HvJckPZzEt8,Pinterest Downloader,,,pinterest-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SB06JrOmKRCmOrGrLXUp,prod_Sv6HnsKKwFEYq2,Pexels Video Downloader,,,pexels-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SB06JrOmKRCmT9X7isbT,prod_Sv6H01OFMwFTjc,Pdf Downloader,,,pdf-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SB06JrOmKRCmqci3083A,prod_Sv6HCkJHnqP6Wb,Patreon Downloader,,,patreon-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1SRotl06JrOmKRCmY0T4Yy2P,prod_Sv6HyiH4Quvc3I,Onlyfans Downloader,,,onlyfans-downloader,2025-09-19 18:54,27.00,usd,,,,,per_unit,,unspecified,,,
price_1S99SA06JrOmKRCmA0l7bmzs,prod_Sv6Hgi7DCuezlq,Nicovideo Downloader,,,nicovideo-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S906JrOmKRCm8PWSzqUn,prod_Sv6HkTy8v59Dpr,Netflix Downloader,,,netflix-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S906JrOmKRCmTCBb64dH,prod_T5EAwIbhiUee8S,myproduct,,,myproduct,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S906JrOmKRCmdr83LLAR,prod_Sv6H69s8Ec8xQC,Myfreecams Downloader,,,myfreecams-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S806JrOmKRCmpUG2feB9,prod_Sv6HGsyLXZkz3X,Moodle Downloader,,,moodle-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S806JrOmKRCmHCCmhT1r,prod_Sv6Hz1i7urzMyU,M3u8 Downloader,,,m3u8-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S706JrOmKRCmX0vR1hKE,prod_Sv6H3a1yDafQ1O,Livejasmin Downloader,,,livejasmin-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S706JrOmKRCmMvTirhXR,prod_Sv6Hnr7T90RqBo,Linkedin Learning Downloader,,,linkedin-learning-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S706JrOmKRCmhZNHkYMK,prod_Sf4PSjajga0M0u,Lifetime access,,,lifetime-access,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S606JrOmKRCm3FCmGNwl,prod_Sv6HFgLzgN9hnP,Learnworlds Downloader,,,learnworlds-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S606JrOmKRCmDPKTYR3F,prod_T2PRQv6WRJvXYn,Learning - SERP Affiliates,,,learning-serp-affiliates,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S506JrOmKRCm1CKYaTQD,prod_Sv6H1kJsFr6Mwb,Learndash Downloader,,,learndash-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S506JrOmKRCmB4Lwtrnx,prod_Sj8FV34EKiy6d9,Learn Command Line Course,,,learn-command-line-course,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S506JrOmKRCmbABw5hlJ,prod_Sv6HSA6NhYXATz,Kick Clip Downloader,,,kick-clip-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S406JrOmKRCmMYMBdJnH,prod_Sv6Hi68Yt4xrq7,Khan Academy Downloader,,,khan-academy-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S406JrOmKRCmBcdzXB0h,prod_Sv6HvrfNcJGsmF,Kajabi Video Downloader,,,kajabi-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S306JrOmKRCmK6NjK5Va,prod_Sv6HF55IeA9T1m,Istock Downloader,,,istock-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S306JrOmKRCmt9e2zpy1,prod_Sv6HHsgxrmc67T,Internet Archive Downloader,,,internet-archive-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S306JrOmKRCmICWh6VJw,prod_Sv6H4rdOP8R4NH,Instagram Downloader,,,instagram-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S206JrOmKRCmnelQqCxC,prod_Sv6Hb6RZdCQycO,Hulu Downloader,,,hulu-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S206JrOmKRCmqYGE8YzF,prod_Sv6HP8xSV1xgO5,Gokollab Downloader,,,gokollab-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S106JrOmKRCmK6CAb7lf,prod_Sv6H4MVJcU7QWG,Gohighlevel Downloader,,,gohighlevel-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S106JrOmKRCmdXfb9jS6,prod_Sv6HPDBzSTwq5v,Giphy Downloader,,,giphy-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S106JrOmKRCm21RMcXXQ,prod_Sv6G2PvPbbsY0e,Getty Images Downloader,,,getty-images-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S006JrOmKRCmymX4iwiU,prod_Sv6G4pLrRspRdw,Freepik Downloader,,,freepik-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99S006JrOmKRCmCeEYBlV8,prod_Sv6GNZ54gkmClS,Flickr Downloader,,,flickr-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rz06JrOmKRCmlvN0kKqh,prod_Sv6Gf37t8iqoBw,Flicker Downloader,,,flicker-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rz06JrOmKRCmXoOxhUA8,prod_Sv6GG0TftR6fBH,Facebook Video Downloader,,,facebook-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Ry06JrOmKRCmcSDCCFLV,prod_Sv6GZFzYCJleDd,Erothots Downloader,,,erothots-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Ry06JrOmKRCmZIFlmakk,prod_Sv6GavFuOovIeN,Erome Downloader,,,erome-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Ry06JrOmKRCmk8E2vws3,prod_SrFXyd2mvvOdoe,Eporner Video Downloader,Extension license key,,eporner-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rx06JrOmKRCmWKeqJdXx,prod_Sv6GFpqP5fPcqj,Dreamstime Downloader,,,dreamstime-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rx06JrOmKRCmUoTVMrGg,prod_Sj0wNFlciCLllT,Dream Customers Course,,,dream-customers-course,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rw06JrOmKRCmlZBrLxPp,prod_Sf1PhntleA5vcH,Dream Customers (archive),,,dream-customers-archive,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rw06JrOmKRCmTNUksRAe,prod_Sv6G4CN0jGu7Bf,Deviantart Downloader,,,deviantart-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
